chargeDeviceID,reference,name,latitude,longitude,chargeDeviceStatus
e090dc0d50bec3a36eb5d6371fd6030e,SRC_LDN60379,NCP Buckhold Road,51.453562,-0.193776,In service
54d22f8632eb479849f7bad14f024ce5,SRC_LDN60380,NCP Cadogan Place,51.497429,-0.158589,Out of service
96f6441cbed455698217b98f989f0d90,SRC_LDN60381,NCP Carrington Street,51.505649,-0.146673,In service
04b9894bec8fb548d80dac08563db359,SRC_LDN60382,NCP Cleveland Street,51.520271,-0.137604,In service
293a3ddba6d1a6bb1f2b2dc364cfa5f2,SRC_LDN60383,NCP Crawford Street,51.519367,-0.162389,In service
35b07af7d3ff07f8d3a4403e3c302808,SRC_LDN60384,NCP Dingwall Road,51.377317,-0.095159,In service
8a913f4ab05bdaf0e0211f5914910c01,SRC_LDN60385,NCP Docklands City Harbour,51.494884,-0.014758,In service
f77cf08ee99fa7701632a59db043b925,SRC_LDN60386,NCP Epsom The Ebbisham Centre,51.334285,-0.265839,Out of service
a9ed0cdd23029e0981337ff9a45f6321,SRC_LDN60387,NCP Fairfield,51.409843,-0.300986,Out of service
aea1d6f516dac44d20b2943846c1a8eb,SRC_LDN60388,NCP Fairfield Halls,51.373142,-0.093350,In service
915084e1490f0b0903e69748e0ceacd5,SRC_LDN60389,NCP Farringdon,51.524615,-0.109532,In service
f16faf5d680d7b88e2e157c1c137c497,SRC_LDN60390,NCP Finsbury Square,51.521397,-0.086342,In service
82be72a97fdbbdaceed45092ac9d3520,SRC_LDN60391,NCP Flightpath (Heathrow Airport),51.482996,-0.453653,In service
ad0e54281f5a23cf8d1120dadd57a727,SRC_LDN60392,NCP Great Eastern Street,51.523795,-0.080072,In service
9a4bee6584f98d9c0cea9eab4e89dfa2,SRC_LDN60393,NCP Grosvenor Hill,51.511188,-0.146102,In service
ac0e9478875811daa1da261d75df0f52,SRC_LDN60395,High Street NCP Car Park,51.333460,-0.269645,In service
59843bfb2ca080a23bcbbc5278fa6982,SRC_LDN60396,NCP Hounslow West Station,51.472887,-0.384837,In service
d82c780d2a2961ea0e0d62a13c024c81,SRC_LDN60397,NCP Lawn House Close,51.500274,-0.010720,In service
70e1a3c032f8b2a08d1ee55d5ceb23ef,SRC_LDN60398,NCP Marble Arch,51.514844,-0.160121,In service
b7d5b31daa4c9f6cc67772a4daf5aeea,SRC_LDN60399,NCP Marylebone Road,51.522714,-0.159083,In service
e785fe017d50ed8e46e6ed13f19a3cdf,SRC_LDN60400,NCP North Greenwich Station,51.498749,0.003880,In service
e12e5a207c1c51bdf37f1d829294669a,SRC_LDN60401,NCP Park Road,51.525931,-0.162370,In service
e0e5486446ed62ce06d20e36f5768613,SRC_LDN60402,NCP Pavillion Road,51.499683,-0.160674,In service
6dfde8aa3dd913dd25bd717faee1bf79,SRC_LDN60403,NCP Perivale Station Car Park,51.536579,-0.323927,In service
137b81b130a9003977a2f513032a738a,SRC_LDN60404,NCP Portman Square,51.516570,-0.157789,In service
48997e34bfde15452d4f69de04b87f57,SRC_LDN60405,NCP Richmond Station,51.462538,-0.300916,In service
35bb97f361bcca162714c1c41fcfa775,SRC_LDN60406,NCP Saffron Hill,51.521198,-0.106776,In service
21f13a5b34b547642228fd4e9fc56a15,SRC_LDN60407,NCP Shaftesbury,51.516387,-0.125223,In service
d1b8c0f3baa7b05c8cea547e188a5a7c,SRC_LDN60408,NCP Sherwood Court,51.518164,-0.163101,In service
5da361ad62b75317c5c92cc168f95877,SRC_LDN60409,NCP Snowsfield,51.501349,-0.087182,In service
6c50a85bd85a359ae0225a9d9a11af0c,SRC_LDN60410,NCP St James Road,51.408171,-0.304125,In service
6426551eee37e119b15fc51e52b36c4e,SRC_LDN60411,NCP Victoria,51.491892,-0.150198,In service
54778faebfb990828ec9d581a3a5c7cb,SRC_LDN60412,NCP Vintry Thames Exchange,51.510372,-0.092382,In service
17c4ef97b946c1798e10e7f9086802e2,SRC_LDN60413,NCP Water Gardens,51.517614,-0.167014,In service
58fc31760d02cfe624d886a0f0f0f197,SRC_LDN60414,NCP Watford Station,51.656570,-0.417841,Out of service
2625e71721bf8a56e5b453ff7b74748e,SRC_LDN60415,NCP West 12 Centre,51.505419,-0.229565,In service
e865e34e39227944864fd3e4ffdf78da,SRC_LDN60416,NCP Whitgift,51.377711,-0.100029,In service
dbaf53621ccb49960fd0a32093c38be2,SRC_LDN60417,NCP Woburn Place,51.523922,-0.126326,In service
89da44bc2f3ef61b413fe4976fd21114,SRC_LDN60418,NCP Young Street,51.501282,-0.189469,In service
1b3ce0eebea29cfc50ad439503cbeddf,SRC_LDN60419,Netherwood Street,51.545173,-0.200491,Out of service
1ba7439a02d9539077510205dd05123f,SRC_LDN60420,Newbury Park Station Car Park 1,51.575981,0.090643,In service
1530ff634b23607909249284ac7eda45,SRC_LDN60421,Newham University Hospital 1,51.523713,0.034153,In service
e57942bbfd46919c7d2c7b73bf09fb1c,SRC_LDN60422,Ancaster Nissan Dealership,51.411298,0.025637,In service
4c320a31119cd5d8114fc81267c53f23,SRC_LDN60423,O2 Arena Car Park 1,51.498076,0.004312,In service
2c6ac01ac0d8ea3ae36555a9d181f9e5,SRC_LDN60424,Oakwood Station Car Park 1,51.647944,-0.130757,In service
28ce99f02d994ec5227307d28db232e5,SRC_LDN60425,Oasis Academy,51.639866,-0.038479,In service
dc12f8db498b3f86414155559fd0b476,SRC_LDN60426,Octink,51.483866,-0.314525,In service
89c0590cd1499525b298fe68f263ed07,SRC_LDN60427,Oldhill Street ,51.569820,-0.063718,In service
bfe897be4cfac69ab90dab87238a7c57,SRC_LDN60428,Ondine Road,51.463002,-0.072792,In service
9e08261c0d1ff04f85381fa86fce1087,SRC_LDN60429,Orchard Village,51.528936,0.170689,In service
12bb430be526cebb26b7248683b51fab,SRC_LDN60430,South Street 1,51.528291,0.168611,In service
ffe367e29927354b95526f42fab1e71a,SRC_LDN60431,Palace Gardens Multistorey Car park,51.651689,-0.084691,In service
c2a2c749a957b42d69460247e0482569,SRC_LDN60432,Palace Street,51.497298,-0.139505,In service
3db85d1c2f2e830eed7246c33fa19edd,SRC_LDN60433,Park Street,51.507214,-0.097831,In service
2fc2919f32a06435d6505250da0b6047,SRC_LDN60503,Parkland Road,51.595472,-0.110952,In service
33783ac43a03292abd2bb11038316e90,SRC_LDN60504,Pearcefield Avenue Car Park,51.440645,-0.055286,In service
37e58106dd40b0bae179dc560868ad19,SRC_LDN60505,Pembroke Road Car Park,51.573101,-0.414175,In service
a433e9ef4ab45e38b9b9d31b170e9550,SRC_LDN60506,"Penge East Station,",51.419055,-0.055397,Out of service
f956db2b3d14b0cc2c7bba13d6bc2156,SRC_LDN60507,Pitfield Street,51.529480,-0.083466,Out of service
a201af0dc8f57ebbf253e6f8c0348480,SRC_LDN60508,Premier Inn Dagenham,51.530900,0.148492,In service
66d8acbdb9f1cd14f322c69f9fb9a896,SRC_LDN60509,Preston Road Car Park Car Park,51.573459,-0.295398,In service
ec25c33da3cb77a325b10d78b388ae5f,SRC_LDN60511,Pulross Road,51.464324,-0.118734,Out of service
bcdf5f271e060056af7ca0548c35a98a,SRC_LDN60512,Pump Lane Car Park ,51.506830,-0.415583,In service
c3be52b54804f58495806bd08faba616,SRC_LDN60513,Purley Railway Station Car Park,51.336998,-0.113801,In service
4bdb3b694acca9162c97f75efe9faca1,SRC_LDN60514,Putney Leisure Centre,51.463908,-0.228811,Out of service
dfc2075e6b1a0446059832d3f11aee8f,SRC_LDN60515,Abingdon Car Park 1,51.497935,-0.126383,In service
a990ce495c24bb7772fcc56b7a82f1d0,SRC_LDN60516,Q-Park - Butlers Wharf Car Park,51.502290,-0.073815,Out of service
8655db152e8c05552ffd8b0bdb22b8f4,SRC_LDN60517,Harley Street Car Park (Q-Park) 1,51.517948,-0.145338,In service
b8b58dc4043e2bcec02e62d5001ef153,SRC_LDN60518,Q-Park - Knightsbridge,51.499890,-0.157251,Out of service
29ebaed404bb72a1efe96d16451ccec2,SRC_LDN60519,Q-Park - Old Burlington Street,51.510623,-0.140505,In service
